=== Crosstab: Country vs Are hours visiting hours for tourists? ===
Country,No - Religious Only,Unverifiable Hours,Yes - Edit Needed
SK,5,1,0
SR,1,0,0
TH,1,2,0
TR,9,1,0
TW,32,2,3
UA,4,1,1
US,103,13,5
UY,1,0,0
VA,0,0,1
VN,1,2,0
ZA,2,0,1

=== Crosstab: Modern Category vs Are hours visiting hours for tourists? ===
Modern Category,No - Religious Only,Unverifiable Hours,Yes - Edit Needed
association_or_organization.religious_organization,33,47,82
association_or_organization.religious_organization.burial_ground,0,0,1
association_or_organization.religious_organization.cemevi,1,0,0
association_or_organization.religious_organization.church,229,145,400
association_or_organization.religious_organization.church.baptist_church,1,0,0
association_or_organization.religious_organization.church.bible_church,1,0,0
association_or_organization.religious_organization.church.cathedral,3,1,13
association_or_organization.religious_organization.church.catholic_church,1,0,6
association_or_organization.religious_organization.church.christian_church,0,0,2
association_or_organization.religious_organization.church.episcopal_church,1,0,0
association_or_organization.religious_organization.church.evangelical_church,0,1,1
association_or_organization.religious_organization.church.lutheran_church,2,1,2
association_or_organization.religious_organization.church.orthodox_church,0,1,0
association_or_organization.religious_organization.church.pentecostal_church,1,0,0
association_or_organization.religious_organization.church.presbyterian_church,2,0,0
association_or_organization.religious_organization.church.protestant_church,0,0,1
association_or_organization.religious_organization.monastery,9,7,57
association_or_organization.religious_organization.monastery.abbey,0,0,10
association_or_organization.religious_organization.mosque,8,4,10
association_or_organization.religious_organization.place_of_worship,16,19,18
association_or_organization.religious_organization.shrine,4,6,3
association_or_organization.religious_organization.shrine.shinto_shrine,17,5,19
association_or_organization.religious_organization.synagogue,2,3,21
association_or_organization.religious_organization.temple,8,12,25
association_or_organization.religious_organization.temple.confucian_temple,0,2,1
association_or_organization.religious_organization.temple.jain_temple,0,0,2
association_or_organization.religious_organization.temple.taoist_temple,1,4,4

=== Crosstab: Modern Category vs Is POI also a tourist attraction? ===
Modern Category,No,Unverifiable,Yes
association_or_organization.religious_organization,55,23,84
association_or_organization.religious_organization.burial_ground,0,0,1
association_or_organization.religious_organization.cemevi,1,0,0
association_or_organization.religious_organization.church,243,100,431
association_or_organization.religious_organization.church.baptist_church,1,0,0
association_or_organization.religious_organization.church.bible_church,1,0,0
association_or_organization.religious_organization.church.cathedral,2,1,14
association_or_organization.religious_organization.church.catholic_church,1,0,6
association_or_organization.religious_organization.church.christian_church,0,0,2
association_or_organization.religious_organization.church.episcopal_church,1,0,0
association_or_organization.religious_organization.church.evangelical_church,1,0,1
association_or_organization.religious_organization.church.lutheran_church,3,1,1
association_or_organization.religious_organization.church.orthodox_church,0,0,1
association_or_organization.religious_organization.church.pentecostal_church,1,0,0
association_or_organization.religious_organization.church.presbyterian_church,1,1,0
association_or_organization.religious_organization.church.protestant_church,0,0,1
association_or_organization.religious_organization.monastery,7,2,64
association_or_organization.religious_organization.monastery.abbey,0,0,10
association_or_organization.religious_organization.mosque,7,0,15
association_or_organization.religious_organization.place_of_worship,24,8,21
association_or_organization.religious_organization.shrine,4,4,5
association_or_organization.religious_organization.shrine.shinto_shrine,17,3,21
association_or_organization.religious_organization.synagogue,4,0,22
association_or_organization.religious_organization.temple,10,9,26
association_or_organization.religious_organization.temple.confucian_temple,0,1,2
association_or_organization.religious_organization.temple.jain_temple,0,0,2
association_or_organization.religious_organization.temple.taoist_temple,1,3,5

=== Crosstab: Modern Category vs Are Hours Seasonal? ===
Modern Category,No,Yes
association_or_organization.religious_organization,82,20
association_or_organization.religious_organization.burial_ground,1,0
association_or_organization.religious_organization.cemevi,1,0
association_or_organization.religious_organization.church,405,118
association_or_organization.religious_organization.church.baptist_church,1,0
association_or_organization.religious_organization.church.bible_church,1,0
association_or_organization.religious_organization.church.cathedral,5,1
association_or_organization.religious_organization.church.catholic_church,6,0
association_or_organization.religious_organization.church.christian_church,2,0
association_or_organization.religious_organization.church.episcopal_church,1,0
association_or_organization.religious_organization.church.evangelical_church,0,1
association_or_organization.religious_organization.church.lutheran_church,2,0
association_or_organization.religious_organization.church.presbyterian_church,2,0
association_or_organization.religious_organization.church.protestant_church,1,0
association_or_organization.religious_organization.monastery,31,32
association_or_organization.religious_organization.monastery.abbey,3,4
association_or_organization.religious_organization.mosque,10,2
association_or_organization.religious_organization.place_of_worship,19,8
association_or_organization.religious_organization.shrine,5,3
association_or_organization.religious_organization.shrine.shinto_shrine,25,5
association_or_organization.religious_organization.synagogue,9,11
association_or_organization.religious_organization.temple,27,2
association_or_organization.religious_organization.temple.confucian_temple,1,0
association_or_organization.religious_organization.temple.jain_temple,2,0
association_or_organization.religious_organization.temple.taoist_temple,4,0

=== Crosstab: Modern Category vs Religious Category Flag ===
Modern Category,Correct,Incorrect,Unverifiable - Suspect Incorrect
association_or_organization.religious_organization,103,43,16
association_or_organization.religious_organization.burial_ground,0,1,0
association_or_organization.religious_organization.cemevi,1,0,0
association_or_organization.religious_organization.church,664,73,28
association_or_organization.religious_organization.church.baptist_church,1,0,0
association_or_organization.religious_organization.church.bible_church,1,0,0
association_or_organization.religious_organization.church.cathedral,15,1,1
association_or_organization.religious_organization.church.catholic_church,6,1,0
association_or_organization.religious_organization.church.christian_church,2,0,0
association_or_organization.religious_organization.church.episcopal_church,1,0,0
association_or_organization.religious_organization.church.evangelical_church,2,0,0
association_or_organization.religious_organization.church.lutheran_church,5,0,0
association_or_organization.religious_organization.church.orthodox_church,1,0,0
association_or_organization.religious_organization.church.pentecostal_church,1,0,0
association_or_organization.religious_organization.church.presbyterian_church,2,0,0
association_or_organization.religious_organization.church.protestant_church,1,0,0
association_or_organization.religious_organization.monastery,60,12,1
association_or_organization.religious_organization.monastery.abbey,6,4,0
association_or_organization.religious_organization.mosque,22,0,0
association_or_organization.religious_organization.place_of_worship,32,14,7
association_or_organization.religious_organization.shrine,9,4,0
association_or_organization.religious_organization.shrine.shinto_shrine,40,0,0
association_or_organization.religious_organization.synagogue,20,5,1
association_or_organization.religious_organization.temple,34,9,1
association_or_organization.religious_organization.temple.confucian_temple,2,0,0
association_or_organization.religious_organization.temple.jain_temple,2,0,0
association_or_organization.religious_organization.temple.taoist_temple,7,0,2

=== Crosstab: Supports Apple Pay vs Are hours visiting hours for tourists? ===
Supports Apple Pay,No - Religious Only,Unverifiable Hours,Yes - Edit Needed
FALSE,288,241,514
TRUE,52,17,164

=== Crosstab: Supports Apple Pay vs Is POI also a tourist attraction? ===
Supports Apple Pay,No,Unverifiable,Yes
FALSE,322,147,574
TRUE,63,9,161

=== Crosstab: Supports Apple Pay vs Are Hours Seasonal? ===
Supports Apple Pay,No,Yes
FALSE,527,149
TRUE,119,58

=== Crosstab: Supports Apple Pay vs Religious Category Flag ===
Supports Apple Pay,Correct,Incorrect,Unverifiable - Suspect Incorrect
FALSE,838,139,54
TRUE,202,28,3

=== Crosstab: pop_bin vs Are hours visiting hours for tourists? ===
pop_bin,No - Religious Only,Unverifiable Hours,Yes - Edit Needed
Low,148,146,174
Med,119,77,190
High,73,35,314

=== Crosstab: pop_bin vs Is POI also a tourist attraction? ===
pop_bin,No,Unverifiable,Yes
Low,170,89,209
Med,138,55,193
High,77,12,333

=== Crosstab: pop_bin vs Are Hours Seasonal? ===
pop_bin,No,Yes
Low,213,54
Med,197,64
High,236,89

=== Crosstab: pop_bin vs Religious Category Flag ===
pop_bin,Correct,Incorrect,Unverifiable - Suspect Incorrect
Low,341,82,43
Med,327,43,9
High,372,42,5

